x-axis,1,2,3
second,Volt,Volt,Volt
+28.70000E-03,+693.75002E-03,+906.25000E-03,+724.49994E-03
+28.71000E-03,+787.50002E-03,+562.50000E-03,+474.49994E-03
+28.72000E-03,+1.13125002E+00,+468.75000E-03,+505.74994E-03
+28.73000E-03,+1.50625002E+00,+625.00000E-03,+724.49994E-03
+28.74000E-03,+1.94375002E+00,+1.03125000E+00,+1.25574994E+00
+28.75000E-03,+2.35000002E+00,+1.62500000E+00,+1.78699994E+00
+28.76000E-03,+2.50625002E+00,+2.25000000E+00,+2.41199994E+00
+28.77000E-03,+2.50625002E+00,+2.59375000E+00,+2.75574994E+00
+28.78000E-03,+2.22500002E+00,+2.81250000E+00,+2.84949994E+00
+28.79000E-03,+1.78750002E+00,+2.68750000E+00,+2.66199994E+00
+28.80000E-03,+1.31875002E+00,+2.34375000E+00,+2.16199994E+00
+28.81000E-03,+943.75002E-03,+1.78125000E+00,+1.59949994E+00
+28.82000E-03,+725.00002E-03,+1.18750000E+00,+1.00574994E+00
+28.83000E-03,+756.25002E-03,+718.75000E-03,+630.74994E-03
+28.84000E-03,+943.75002E-03,+437.50000E-03,+443.24994E-03
+28.85000E-03,+1.31875002E+00,+531.25000E-03,+568.24994E-03
+28.86000E-03,+1.85000002E+00,+843.75000E-03,+974.49994E-03
+28.87000E-03,+2.22500002E+00,+1.37500000E+00,+1.59949994E+00
+28.88000E-03,+2.50625002E+00,+2.00000000E+00,+2.22449994E+00
+28.89000E-03,+2.50625002E+00,+2.50000000E+00,+2.69324994E+00
+28.90000E-03,+2.25625002E+00,+2.78125000E+00,+2.84949994E+00
+28.91000E-03,+1.88125002E+00,+2.78125000E+00,+2.72449994E+00
+28.92000E-03,+1.41250002E+00,+2.43750000E+00,+2.25574994E+00
+28.93000E-03,+975.00002E-03,+1.87500000E+00,+1.66199994E+00
+28.94000E-03,+725.00002E-03,+1.21875000E+00,+1.03699994E+00
+28.95000E-03,+725.00002E-03,+750.00000E-03,+568.24994E-03
+28.96000E-03,+1.00625002E+00,+437.50000E-03,+443.24994E-03
+28.97000E-03,+1.41250002E+00,+500.00000E-03,+599.49994E-03
+28.98000E-03,+1.91250002E+00,+875.00000E-03,+1.03699994E+00
+28.99000E-03,+2.35000002E+00,+1.46875000E+00,+1.69324994E+00
+29.00000E-03,+2.50625002E+00,+2.12500000E+00,+2.34949994E+00
+29.01000E-03,+2.44375002E+00,+2.59375000E+00,+2.75574994E+00
+29.02000E-03,+2.13125002E+00,+2.81250000E+00,+2.88074994E+00
+29.03000E-03,+1.66250002E+00,+2.68750000E+00,+2.66199994E+00
+29.04000E-03,+1.16250002E+00,+2.28125000E+00,+2.06824994E+00
+29.05000E-03,+787.50002E-03,+1.62500000E+00,+1.41199994E+00
+29.06000E-03,+693.75002E-03,+1.03125000E+00,+818.24994E-03
